"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","REM","EQD"
"76361599999","2020-01-03T20:10:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0051,1","22000,1,9,N","016093,1,9,9","+0220,1","+0060,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10193,1,99999,9",,,"MET060METAR MMLM 032010Z RTD 32010KT 10SM SKC 22/06 A3010 RMK HZY=",
"76361599999","2020-01-03T20:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","350,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0230,1","+0050,1","10187,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,,"MET063METAR MMLM 032045Z 35009KT 10SM SKC 23/05 A3008 RMK SLP187 HZY=",
"76361599999","2020-01-03T21:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0062,1","22000,1,9,N","016093,1,9,9","+0230,1","+0040,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,1,99999,9",,,"MET056METAR MMLM 032140Z 30012KT 10SM SKC 23/04 A3007 RMK HZY=",
"76361599999","2020-01-03T22:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0062,1","22000,1,9,N","016093,1,9,9","+0230,1","+0060,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,1,99999,9",,,"MET056METAR MMLM 032242Z 30012KT 10SM SKC 23/06 A3006 RMK HZY=",
"76361599999","2020-01-03T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0072,1","22000,1,9,N","016093,1,9,9","+0210,1","+0080,1","10183,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,1,99999,9",,,"MET063METAR MMLM 032340Z 30014KT 10SM SKC 21/08 A3007 RMK SLP183 HZY=",
"76361599999","2020-01-04T00:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0057,1","22000,1,9,N","016093,1,9,9","+0190,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10193,1,99999,9",,,"MET048METAR MMLM 040041Z 31011KT 10SM SKC 19/08 A3010=",
"76361599999","2020-01-04T01:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0051,1","22000,1,9,N","016093,1,9,9","+0170,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,"MET048METAR MMLM 040143Z 29010KT 10SM SKC 17/10 A3012=",
"76361599999","2020-01-04T02:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0051,1","22000,1,9,N","016093,1,9,9","+0170,1","+0100,1","10191,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,"MET060METAR MMLM 040240Z 29010KT 10SM SKC 17/10 A3012 RMK SLP1910=",
"76361599999","2020-01-04T03:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0051,1","22000,1,9,N","016093,1,9,9","+0160,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10203,1,99999,9",,,"MET048METAR MMLM 040340Z 30010KT 10SM SKC 16/11 A3013=",
"76361599999","2020-01-04T14:15:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","006437,1,9,9","+0100,1","+0070,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10223,1,99999,9","11,1",,"MET076METAR MMLM 041415Z RTD 00000KT 4SM BCFG SKC 10/07 A3019 RMK VSBY LWR SW RTS=",
