"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"76361599999","2025-01-03T00:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0041,1","07620,1,C,N","012875,1,9,9","+0200,1","+0140,1","99999,9","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10149,1,99999,9",,"MET064METAR MMLM 030040Z 29008KT 8SM BKN250 20/14 A2997 RMK 8/008 HZY=",
"76361599999","2025-01-03T01:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0036,1","99999,9,9,N","012875,1,9,9","+0180,1","+0140,1","99999,9","04,1,+07620,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,07620,1,99,9,99,9","10156,1,99999,9",,"MET060METAR MMLM 030140Z 30007KT 8SM SCT250 18/14 A2999 RMK 8/001=",
"76361599999","2025-01-03T02:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","260,1,N,0021,1","99999,9,9,N","012875,1,9,9","+0160,1","+0130,1","10151,1","04,1,+07620,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,07620,1,99,9,99,9","10159,1,99999,9",,"MET068METAR MMLM 030241Z 26004KT 8SM SCT250 16/13 A3000 RMK SLP1510 8/001=",
"76361599999","2025-01-03T03:47:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,N","012875,1,9,9","+0140,1","+0120,1","99999,9","04,1,+07620,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,07620,1,99,9,99,9","10163,1,99999,9",,"MET060METAR MMLM 030347Z 25004KT 8SM SCT250 14/12 A3001 RMK 8/001=",
"76361599999","2025-01-03T04:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","260,1,N,0031,1","99999,9,9,N","011265,1,9,9","+0140,1","+0120,1","99999,9","02,1,+07620,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,07620,1,99,9,99,9","10166,1,99999,9",,"MET060METAR MMLM 030440Z 26006KT 7SM FEW250 14/12 A3002 RMK 8/001=",
"76361599999","2025-01-03T13:55:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","220,1,N,0021,1","00000,1,W,N","000000,1,9,9","+0110,1","+0110,1","99999,9","09,1,+00000,1,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,00000,1,99,9,99,9","10176,1,99999,9","44,1","MET066METAR MMLM 031355Z 22004KT 0SM FG VV000 11/11 A3005 RMK 8//// RTS=",
"76361599999","2025-01-03T14:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","240,1,N,0015,1","00030,1,W,N","000101,5,9,9","+0120,5","+0120,5","10171,1","09,1,+00030,1,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,00030,1,99,9,99,9","10179,1,99999,9","44,1","MET073METAR MMLM 031443Z 24003KT 1/16SM FG VV001 12/12 A3006 RMK SLP1710 8////=","D01      0ADE729"
"76361599999","2025-01-03T15:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0021,1","00030,1,W,N","000201,1,9,9","+0150,1","+0140,1","99999,9","09,1,+00030,1,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,00030,1,99,9,99,9","10186,1,99999,9","44,1","MET064METAR MMLM 031542Z 29004KT 1/8SM FG VV001 15/14 A3008 RMK 8////=",
"76361599999","2025-01-03T16:05:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","300,1,N,0021,1","22000,1,9,N","002414,1,9,9","+0160,1","+0150,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9","11,1","MET075SPECI MMLM 031605Z 30004KT 1 1/2SM BCFG SKC 16/15 A3008 RMK VSBY LWR 1SM E=",
"76361599999","2025-01-03T16:14:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","300,1,N,0021,1","22000,1,9,N","004828,1,9,9","+0160,1","+0160,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9","10,1","MET065SPECI MMLM 031614Z 30004KT 3SM BR SKC 16/16 A3008 RMK VSBY LWR E=",
